company_name,company_domain
Notion,notion.so
Linear,linear.app
Vercel,vercel.com
Retool,retool.com
Ramp,ramp.com
Brex,brex.com
Rippling,rippling.com
Gusto,gusto.com
Webflow,webflow.com
Airtable,airtable.com
Segment,segment.com
Amplitude,amplitude.com
Mixpanel,mixpanel.com
PostHog,posthog.com
Clearbit,clearbit.com
Apollo,apollo.io
Gong,gong.io
Outreach,outreach.io
Lever,lever.co
Greenhouse,greenhouse.io
Pendo,pendo.io
Productboard,productboard.com
Census,getcensus.com
Hightouch,hightouch.com
dbt Labs,getdbt.com
